project,version,file,has_provenance,publisher
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-musllinux_1_2_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-musllinux_1_2_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-win32.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-win_amd64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-win_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-macosx_10_15_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-macosx_11_0_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-manylinux_2_26_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-manylinux_2_39_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-musllinux_1_2_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-musllinux_1_2_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-musllinux_1_2_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-win32.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-win_amd64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314-win_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-macosx_10_15_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-macosx_11_0_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-manylinux_2_26_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-manylinux_2_39_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-musllinux_1_2_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-musllinux_1_2_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-musllinux_1_2_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-win32.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-win_amd64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp314-cp314t-win_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-pp311-pypy311_pp73-macosx_10_15_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-pp311-pypy311_pp73-macosx_11_0_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-pp311-pypy311_pp73-manylinux_2_26_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-pp311-pypy311_pp73-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-pp311-pypy311_pp73-win_amd64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5.tar.gz,True,GitHub
markdown,3.10.2,markdown-3.10.2-py3-none-any.whl,False,
markdown,3.10.2,markdown-3.10.2.tar.gz,False,
nest-asyncio,1.6.0,nest_asyncio-1.6.0-py3-none-any.whl,False,
nest-asyncio,1.6.0,nest_asyncio-1.6.0.tar.gz,False,
pyproject-hooks,1.2.0,pyproject_hooks-1.2.0-py3-none-any.whl,False,
pyproject-hooks,1.2.0,pyproject_hooks-1.2.0.tar.gz,False,
azure-common,1.1.28,azure-common-1.1.28.zip,False,
azure-common,1.1.28,azure_common-1.1.28-py2.py3-none-any.whl,False,
parso,0.8.7,parso-0.8.7-py2.py3-none-any.whl,False,
parso,0.8.7,parso-0.8.7.tar.gz,False,
openai,2.38.0,openai-2.38.0-py3-none-any.whl,False,
openai,2.38.0,openai-2.38.0.tar.gz,False,
black,26.5.1,black-26.5.1-cp310-cp310-macosx_10_9_x86_64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp310-cp310-macosx_11_0_arm64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp310-cp310-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp310-cp310-win_amd64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp310-cp310-win_arm64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp311-cp311-macosx_10_9_x86_64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp311-cp311-macosx_11_0_arm64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp311-cp311-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp311-cp311-win_amd64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp311-cp311-win_arm64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp312-cp312-macosx_10_13_x86_64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp312-cp312-macosx_11_0_arm64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp312-cp312-win_amd64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp312-cp312-win_arm64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp313-cp313-macosx_10_13_x86_64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp313-cp313-macosx_11_0_arm64.whl,True,GitHub
black,26.5.1,black-26.5.1-cp313-cp313-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
